name	year	lat
Aber	2007	52.13914
Aber	2007	52.13914
Aber	2007	52.13914
Aber	2007	52.13914
Aber	2007	52.13914
Aber	2007	52.13914
Aber	2007	52.13914
Aber	2007	52.13914
Aber	2007	52.13914
Aber	2007	52.13914
Aber	2007	52.13914
Aber	2007	52.13914
Aber	2008	52.13914
Aber	2008	52.13914
Aber	2008	52.13914
Aber	2008	52.13914
Aber	2008	52.13914
Aber	2008	52.13914
Aber	2008	52.13914
Aber	2008	52.13914
Aber	2008	52.13914
Aber	2008	52.13914
Aber	2008	52.13914
Aber	2008	52.13914
Aber	2009	52.13914
Aber	2009	52.13914
Aber	2009	52.13914
Aber	2009	52.13914
Aber	2009	52.13914
Aber	2009	52.13914
Aber	2009	52.13914
Aber	2009	52.13914
Aber	2009	52.13914
Aber	2009	52.13914
Aber	2009	52.13914
Aber	2009	52.13914
Aber	2010	52.13914
Aber	2010	52.13914
Aber	2010	52.13914
Aber	2010	52.13914
Aber	2010	52.13914
Aber	2010	52.13914
Aber	2010	52.13914
Aber	2010	52.13914
Aber	2010	52.13914
Aber	2010	52.13914
Aber	2010	52.13914
Aber	2010	52.13914
Aber	2011	52.13914
Aber	2011	52.13914
Aber	2011	52.13914
Aber	2011	52.13914
Aber	2011	52.13914
Aber	2011	52.13914
Aber	2011	52.13914
Aber	2011	52.13914
Aber	2011	52.13914
Aber	2011	52.13914
Aber	2011	52.13914
Aber	2011	52.13914
Aber	2012	52.13914
Aber	2012	52.13914
Aber	2012	52.13914
Aber	2012	52.13914
Aber	2012	52.13914
Aber	2012	52.13914
Aber	2012	52.13914
Aber	2012	52.13914
Aber	2012	52.13914
Aber	2012	52.13914
Aber	2012	52.13914
Aber	2012	52.13914
Aber	2013	52.13914
Aber	2013	52.13914
Aber	2013	52.13914
Aber	2013	52.13914
Aber	2013	52.13914
Aber	2013	52.13914
Aber	2013	52.13914
Aber	2013	52.13914
Aber	2013	52.13914
Aber	2013	52.13914
Aber	2013	52.13914
Aber	2013	52.13914
Aber	2014	52.13914
Aber	2014	52.13914
Aber	2014	52.13914
Aber	2014	52.13914
Aber	2014	52.13914
Aber	2014	52.13914
Aber	2014	52.13914
Aber	2014	52.13914
Aber	2014	52.13914
Aber	2014	52.13914
Aber	2014	52.13914
Aber	2014	52.13914
Aber	2015	52.13914
Aber	2015	52.13914
Aber	2015	52.13914
Aber	2015	52.13914
Aber	2015	52.13914
Aber	2015	52.13914
Aber	2015	52.13914
Aber	2015	52.13914
Aber	2015	52.13914
Aber	2015	52.13914
Aber	2015	52.13914
Aber	2015	52.13914
Aber	2016	52.13914
Aber	2016	52.13914
Aber	2016	52.13914
Aber	2016	52.13914
Aber	2016	52.13914
Aber	2016	52.13914
Aber	2016	52.13914
Aber	2016	52.13914
Aber	2016	52.13914
Aber	2016	52.13914
Aber	2016	52.13914
Aber	2016	52.13914
Aber	2017	52.13914
Aber	2017	52.13914
Aber	2017	52.13914
Aber	2017	52.13914
Aber	2017	52.13914
Aber	2017	52.13914
Aber	2017	52.13914
Aber	2017	52.13914
Aber	2017	52.13914
Aber	2017	52.13914
Aber	2017	52.13914
Aber	2017	52.13914
Aber	2018	52.13914
Aber	2018	52.13914
Aber	2018	52.13914
Aber	2018	52.13914
Aber	2018	52.13914
Aber	2018	52.13914
Aber	2018	52.13914
Aber	2018	52.13914
Aber	2018	52.13914
Aber	2018	52.13914
Aber	2018	52.13914
Aber	2018	52.13914
Aber	2019	52.13914
Aber	2019	52.13914
Aber	2019	52.13914
Aber	2019	52.13914
Aber	2019	52.13914
Aber	2019	52.13914
Aber	2019	52.13914
Aber	2019	52.13914
Aber	2019	52.13914
Aber	2019	52.13914
Aber	2019	52.13914
Aber	2019	52.13914
Aber	2020	52.13914
Aber	2020	52.13914
Aber	2020	52.13914
Aber	2020	52.13914
Aber	2020	52.13914
Aber	2020	52.13914
Aber	2020	52.13914
Aber	2020	52.13914
Aber	2020	52.13914
Aber	2020	52.13914
Aber	2020	52.13914
Aber	2020	52.13914
Aber	2021	52.13914
Aber	2021	52.13914
Aber	2021	52.13914
Aber	2021	52.13914
Aber	2021	52.13914
Aber	2021	52.13914
Aber	2021	52.13914
Aber	2021	52.13914
Aber	2021	52.13914
Aber	2021	52.13914
Aber	2021	52.13914
Aber	2021	52.13914
Aber	2007	54.35234
Aber	2007	54.35234
Aber	2007	54.35234
Aber	2007	54.35234
Armagh	2007	54.35234
Armagh	2007	54.35234
Armagh	2007	54.35234
Armagh	2007	54.35234
Armagh	2007	54.35234
Armagh	2007	54.35234
Armagh	2007	54.35234
Armagh	2007	54.35234
Armagh	2008	54.35234
Armagh	2008	54.35234
Armagh	2008	54.35234
Armagh	2008	54.35234
Armagh	2008	54.35234
Armagh	2008	54.35234
Armagh	2008	54.35234
Armagh	2008	54.35234
Armagh	2008	54.35234
Armagh	2008	54.35234
Armagh	2008	54.35234
Armagh	2008	54.35234
Armagh	2009	54.35234
Armagh	2009	54.35234
Armagh	2009	54.35234
Armagh	2009	54.35234
Armagh	2009	54.35234
Armagh	2009	54.35234
Armagh	2009	54.35234
Armagh	2009	54.35234
Armagh	2009	54.35234
Armagh	2009	54.35234
Armagh	2009	54.35234
Armagh	2009	54.35234
Armagh	2010	54.35234
Armagh	2010	54.35234
Armagh	2010	54.35234
Armagh	2010	54.35234
Armagh	2010	54.35234
Armagh	2010	54.35234
Armagh	2010	54.35234
Armagh	2010	54.35234
Armagh	2010	54.35234
Armagh	2010	54.35234
Armagh	2010	54.35234
Armagh	2010	54.35234
Armagh	2011	54.35234
